id;customer_id;company_id;contact_email;contact_created_at;contact_modified_at
1;17974;98402;California Money Market Account Squares;2021-03-10;2021-03-11
2;19253;63267;Bedfordshire Security;2021-03-11;2021-03-11
3;88056;30527;index;2021-03-11;2021-03-11
4;81054;1585;functionalities;2021-03-10;2021-03-11
5;52388;98464;Malta scale deposit;2021-03-10;2021-03-11
6;82375;43816;Ball Extended;2021-03-11;2021-03-10
7;68188;79742;azure Soft Villages;2021-03-11;2021-03-10
8;97585;42849;Progressive;2021-03-10;2021-03-11
9;30824;9978;bypass Awesome Steel Tuna Spurs;2021-03-11;2021-03-10
10;28795;81624;Front-line;2021-03-10;2021-03-11
