id;event_id;company_id;event_name;event_start_date;event_end_date;event_start_time;event_end_time;event_type
1;69048;3988;multi-state cross-platform connect;2021-03-11;2021-03-11;2021-03-11;2021-03-11;MULTIPLEDAYS
2;55637;48944;deposit SDD Sao Tome and Principe;2021-03-11;2021-03-10;2021-03-11;2021-03-10;MULTIPLEDAYS
3;55507;43003;24/7 monetize;2021-03-11;2021-03-11;2021-03-11;2021-03-11;ONEOFF
4;90812;90132;Refined Rubber Ball;2021-03-10;2021-03-11;2021-03-10;2021-03-10;SEMIPERMANENT
5;42101;37576;Ergonomic calculate;2021-03-11;2021-03-11;2021-03-10;2021-03-10;ONEOFF
6;28142;29374;Factors success Prairie;2021-03-11;2021-03-11;2021-03-10;2021-03-11;ONEOFF
7;8997;12008;Borders Montana mint green;2021-03-10;2021-03-11;2021-03-11;2021-03-11;MULTIPLEDAYS
8;20234;16425;AI;2021-03-11;2021-03-10;2021-03-10;2021-03-11;SEMIPERMANENT
9;69892;58746;Shoal;2021-03-11;2021-03-11;2021-03-11;2021-03-11;MULTIPLEDAYS
10;82900;23227;uniform Steel;2021-03-11;2021-03-11;2021-03-11;2021-03-11;ONEOFF
