id;label_id;label_name;label_type;label_width;label_height
1;25246;Fresh Investment Account;THERMISCH;24165;65938
2;86861;Chicken Stream port;INKT;18999;19888
3;24864;Operations Meadow full-range;THERMISCH;83967;54450
4;28910;convergence;THERMISCH;43729;62034
5;57050;Strategist Marketing;INKT;21636;11761
6;63342;Implementation Manager;THERMISCH;24976;25047
7;99215;Oklahoma overriding Networked;THERMISCH;53403;73887
8;74448;Liaison;INKT;29179;3925
9;52478;bluetooth red Dong;THERMISCH;68309;74989
10;71752;Cheese;THERMISCH;69695;58014
