id;print_id;print_name;print_type;print_width;print_height
1;76420;Branding;MAT;74575;95059
2;33904;copy 1080p;MAT;80408;3579
3;79868;Implementation;GLANZEND;32216;25796
4;54717;Avon Interactions;MAT;31490;44273
5;89289;Research Awesome logistical;GLANZEND;34369;47459
6;41916;mobile;MAT;92183;63060
7;38663;Path red;GLANZEND;1122;66756
8;43108;Human Nepal Corporate;GLANZEND;70270;6836
9;28586;artificial intelligence Comoro Franc Directives;GLANZEND;26062;19832
10;70177;compress;GLANZEND;72583;72037
