id;quote_id;contact_id;company_id;quote_description;quote_price;order_number;quote_created_at;quote_modified_at
1;16699;17129;97222;Group;80472;channels;2021-03-11;2021-03-11
2;48052;70109;14618;input white incubate;77668;indigo Fresh;2021-03-11;2021-03-11
3;79812;40470;20700;EXE TCP;11661;Infrastructure Unbranded Granite Pants;2021-03-11;2021-03-11
4;31423;905;73289;Passage;56197;Metal Centralized;2021-03-11;2021-03-10
5;3313;93419;75303;secondary Unbranded Granite Car markets;88557;XML Hat orange;2021-03-11;2021-03-11
6;97020;25034;21665;Handcrafted maroon;18491;UAE Dirham;2021-03-10;2021-03-11
7;46630;58703;94408;Gloves;92311;connect;2021-03-11;2021-03-11
8;5287;2898;21487;Plastic;52327;Sleek Plastic Salad Brook optimize;2021-03-11;2021-03-10
9;55473;3026;24647;circuit parsing;59672;Practical SCSI Exclusive;2021-03-10;2021-03-11
10;69293;65361;42788;cross-media SSL;80405;Frozen Security;2021-03-11;2021-03-11
